crank_deg,WaX_dim_N,WaY_dim_N
0.000,-48963.108,0.000
1.000,-49702.981,-765.087
2.000,-50267.647,-1548.255
3.000,-50648.986,-2341.673
4.000,-50841.362,-3137.160
5.000,-50841.766,-3926.368
6.000,-50649.880,-4700.962
7.000,-50268.088,-5452.811
8.000,-49701.423,-6174.171
9.000,-48957.448,-6857.853
10.000,-48046.074,-7497.386
11.000,-46979.335,-8087.144
12.000,-45771.111,-8622.464
13.000,-44436.817,-9099.724
14.000,-42993.061,-9516.401
15.000,-41457.292,-9871.089
16.000,-39847.435,-10163.495
17.000,-38181.541,-10394.398
18.000,-36477.437,-10565.594
19.000,-34752.411,-10679.798
20.000,-33022.924,-10740.545
21.000,-31304.357,-10752.066
22.000,-29610.800,-10719.152
23.000,-27954.890,-10647.015
24.000,-26347.690,-10541.151
25.000,-24798.613,-10407.195
26.000,-23315.397,-10250.793
27.000,-21904.111,-10077.480
28.000,-20569.207,-9892.571
29.000,-19313.602,-9701.068
30.000,-18138.779,-9507.584
31.000,-17044.923,-9316.279
32.000,-16031.060,-9130.825
33.000,-15095.213,-8954.373
34.000,-14234.559,-8789.551
35.000,-13445.589,-8638.461
36.000,-12724.261,-8502.702
37.000,-12066.143,-8383.393
38.000,-11466.550,-8281.215
39.000,-10920.664,-8196.449
40.000,-10423.644,-8129.022
41.000,-9970.712,-8078.561
42.000,-9557.236,-8044.437
43.000,-9178.787,-8025.819
44.000,-8831.187,-8021.715
45.000,-8510.545,-8031.023
46.000,-8213.276,-8052.561
47.000,-7936.113,-8085.109
48.000,-7676.111,-8127.437
49.000,-7430.639,-8178.331
50.000,-7197.372,-8236.613
51.000,-6974.274,-8301.156
52.000,-6759.578,-8370.900
53.000,-6551.767,-8444.857
54.000,-6349.548,-8522.117
55.000,-6151.834,-8601.851
56.000,-5957.720,-8683.311
57.000,-5766.458,-8765.826
58.000,-5577.441,-8848.802
59.000,-5390.182,-8931.714
60.000,-5204.296,-9014.106
61.000,-5019.487,-9095.577
62.000,-4835.532,-9175.786
63.000,-4652.267,-9254.436
64.000,-4469.581,-9331.276
65.000,-4287.404,-9406.092
66.000,-4105.697,-9478.702
67.000,-3924.450,-9548.953
68.000,-3743.675,-9616.717
69.000,-3563.399,-9681.885
70.000,-3383.662,-9744.368
71.000,-3204.513,-9804.089
72.000,-3026.012,-9860.984
73.000,-2848.220,-9915.000
74.000,-2671.204,-9966.093
75.000,-2495.031,-10014.223
76.000,-2319.773,-10059.359
77.000,-2145.500,-10101.473
78.000,-1972.282,-10140.543
79.000,-1800.189,-10176.547
80.000,-1629.289,-10209.471
