tau,WaX_nd,WaY_nd
0.000000,-1.635917e+00,0.000000e+00
0.034907,-1.660637e+00,-2.556250e-02
0.069813,-1.679503e+00,-5.172908e-02
0.104720,-1.692244e+00,-7.823812e-02
0.139626,-1.698672e+00,-1.048163e-01
0.174533,-1.698685e+00,-1.311847e-01
0.209440,-1.692274e+00,-1.570648e-01
0.244346,-1.679518e+00,-1.821850e-01
0.279253,-1.660585e+00,-2.062865e-01
0.314159,-1.635728e+00,-2.291292e-01
0.349066,-1.605278e+00,-2.504967e-01
0.383972,-1.569637e+00,-2.702013e-01
0.418879,-1.529268e+00,-2.880870e-01
0.453786,-1.484688e+00,-3.040328e-01
0.488692,-1.436450e+00,-3.179545e-01
0.523599,-1.385138e+00,-3.298051e-01
0.558505,-1.331351e+00,-3.395747e-01
0.593412,-1.275692e+00,-3.472895e-01
0.628319,-1.218755e+00,-3.530093e-01
0.663225,-1.161120e+00,-3.568250e-01
0.698132,-1.103336e+00,-3.588546e-01
0.733038,-1.045917e+00,-3.592396e-01
0.767945,-9.893327e-01,-3.581398e-01
0.802851,-9.340068e-01,-3.557297e-01
0.837758,-8.803083e-01,-3.521926e-01
0.872665,-8.285517e-01,-3.477170e-01
0.907571,-7.789957e-01,-3.424914e-01
0.942478,-7.318429e-01,-3.367008e-01
0.977384,-6.872422e-01,-3.305228e-01
1.012291,-6.452909e-01,-3.241245e-01
1.047198,-6.060386e-01,-3.176599e-01
1.082104,-5.694916e-01,-3.112682e-01
1.117011,-5.356172e-01,-3.050719e-01
1.151917,-5.043494e-01,-2.991765e-01
1.186824,-4.755939e-01,-2.936696e-01
1.221730,-4.492334e-01,-2.886215e-01
1.256637,-4.251330e-01,-2.840856e-01
1.291544,-4.031445e-01,-2.800993e-01
1.326450,-3.831113e-01,-2.766854e-01
1.361357,-3.648726e-01,-2.738533e-01
1.396263,-3.482666e-01,-2.716005e-01
1.431170,-3.331336e-01,-2.699145e-01
1.466077,-3.193188e-01,-2.687744e-01
1.500983,-3.066744e-01,-2.681523e-01
1.535890,-2.950607e-01,-2.680152e-01
1.570796,-2.843476e-01,-2.683262e-01
1.605703,-2.744155e-01,-2.690458e-01
1.640609,-2.651552e-01,-2.701333e-01
1.675516,-2.564682e-01,-2.715475e-01
1.710423,-2.482667e-01,-2.732480e-01
1.745329,-2.404729e-01,-2.751952e-01
1.780236,-2.330190e-01,-2.773517e-01
1.815142,-2.258457e-01,-2.796819e-01
1.850049,-2.189025e-01,-2.821529e-01
1.884956,-2.121461e-01,-2.847343e-01
1.919862,-2.055402e-01,-2.873983e-01
1.954769,-1.990547e-01,-2.901199e-01
1.989675,-1.926644e-01,-2.928769e-01
2.024582,-1.863491e-01,-2.956492e-01
2.059489,-1.800925e-01,-2.984194e-01
2.094395,-1.738818e-01,-3.011722e-01
2.129302,-1.677072e-01,-3.038943e-01
2.164208,-1.615610e-01,-3.065741e-01
2.199115,-1.554379e-01,-3.092019e-01
2.234021,-1.493341e-01,-3.117692e-01
2.268928,-1.432474e-01,-3.142689e-01
2.303835,-1.371763e-01,-3.166949e-01
2.338741,-1.311206e-01,-3.190421e-01
2.373648,-1.250807e-01,-3.213062e-01
2.408554,-1.190575e-01,-3.234835e-01
2.443461,-1.130522e-01,-3.255712e-01
2.478368,-1.070667e-01,-3.275665e-01
2.513274,-1.011027e-01,-3.294674e-01
2.548181,-9.516248e-02,-3.312722e-01
2.583087,-8.924815e-02,-3.329792e-01
2.617994,-8.336202e-02,-3.345873e-01
2.652900,-7.750644e-02,-3.360954e-01
2.687807,-7.168376e-02,-3.375025e-01
2.722714,-6.589633e-02,-3.388078e-01
2.757620,-6.014649e-02,-3.400108e-01
2.792527,-5.443653e-02,-3.411108e-01
2.827433,-4.876873e-02,-3.421073e-01
2.862340,-4.314528e-02,-3.430000e-01
2.897247,-3.756835e-02,-3.437884e-01
2.932153,-3.204002e-02,-3.444723e-01
2.967060,-2.656235e-02,-3.450514e-01
3.001966,-2.113728e-02,-3.455255e-01
3.036873,-1.576672e-02,-3.458943e-01
3.071779,-1.045249e-02,-3.461579e-01
3.106686,-5.196358e-03,-3.463161e-01
3.141593,-1.812391e-17,-3.463688e-01
3.176499,5.134973e-03,-3.463160e-01
3.211406,1.020702e-02,-3.461577e-01
3.246312,1.521470e-02,-3.458940e-01
3.281219,2.015660e-02,-3.455249e-01
3.316126,2.503143e-02,-3.450506e-01
3.351032,2.983795e-02,-3.444712e-01
3.385939,3.457500e-02,-3.437869e-01
3.420845,3.924150e-02,-3.429978e-01
3.455752,4.383645e-02,-3.421043e-01
3.490659,4.835892e-02,-3.411065e-01
3.525565,5.280805e-02,-3.400049e-01
3.560472,5.718306e-02,-3.387997e-01
3.595378,6.148325e-02,-3.374912e-01
3.630285,6.570799e-02,-3.360800e-01
3.665191,6.985671e-02,-3.345664e-01
3.700098,7.392894e-02,-3.329509e-01
3.735005,7.792427e-02,-3.312340e-01
3.769911,8.184234e-02,-3.294162e-01
3.804818,8.568289e-02,-3.274980e-01
3.839724,8.944572e-02,-3.254801e-01
3.874631,9.313069e-02,-3.233630e-01
3.909538,9.673773e-02,-3.211474e-01
3.944444,1.002668e-01,-3.188340e-01
3.979351,1.037181e-01,-3.164235e-01
4.014257,1.070916e-01,-3.139166e-01
4.049164,1.103875e-01,-3.113141e-01
4.084070,1.136061e-01,-3.086167e-01
4.118977,1.167477e-01,-3.058254e-01
4.153884,1.198127e-01,-3.029409e-01
4.188790,1.228014e-01,-2.999641e-01
4.223697,1.257143e-01,-2.968959e-01
4.258603,1.285520e-01,-2.937373e-01
4.293510,1.313150e-01,-2.904892e-01
4.328417,1.340040e-01,-2.871526e-01
4.363323,1.366195e-01,-2.837286e-01
4.398230,1.391623e-01,-2.802181e-01
4.433136,1.416332e-01,-2.766223e-01
4.468043,1.440328e-01,-2.729422e-01
4.502949,1.463621e-01,-2.691790e-01
4.537856,1.486219e-01,-2.653338e-01
4.572763,1.508131e-01,-2.614077e-01
4.607669,1.529366e-01,-2.574021e-01
4.642576,1.549934e-01,-2.533180e-01
4.677482,1.569844e-01,-2.491568e-01
4.712389,1.589106e-01,-2.449196e-01
4.747296,1.607731e-01,-2.406079e-01
4.782202,1.625728e-01,-2.362229e-01
4.817109,1.643109e-01,-2.317659e-01
4.852015,1.659884e-01,-2.272383e-01
4.886922,1.676064e-01,-2.226415e-01
4.921828,1.691660e-01,-2.179769e-01
4.956735,1.706683e-01,-2.132458e-01
4.991642,1.721144e-01,-2.084499e-01
5.026548,1.735054e-01,-2.035904e-01
5.061455,1.748424e-01,-1.986689e-01
5.096361,1.761266e-01,-1.936869e-01
5.131268,1.773590e-01,-1.886459e-01
5.166175,1.785408e-01,-1.835474e-01
5.201081,1.796730e-01,-1.783930e-01
5.235988,1.807568e-01,-1.731843e-01
5.270894,1.817932e-01,-1.679229e-01
5.305801,1.827832e-01,-1.626102e-01
5.340708,1.837280e-01,-1.572481e-01
5.375614,1.846285e-01,-1.518380e-01
5.410521,1.854857e-01,-1.463817e-01
5.445427,1.863007e-01,-1.408808e-01
5.480334,1.870745e-01,-1.353370e-01
5.515240,1.878078e-01,-1.297520e-01
5.550147,1.885018e-01,-1.241274e-01
5.585054,1.891571e-01,-1.184651e-01
5.619960,1.897748e-01,-1.127666e-01
5.654867,1.903556e-01,-1.070338e-01
5.689773,1.909003e-01,-1.012684e-01
5.724680,1.914097e-01,-9.547214e-02
5.759587,1.918845e-01,-8.964680e-02
5.794493,1.923253e-01,-8.379416e-02
5.829400,1.927328e-01,-7.791599e-02
5.864306,1.931077e-01,-7.201409e-02
5.899213,1.934505e-01,-6.609025e-02
5.934119,1.937617e-01,-6.014629e-02
5.969026,1.940417e-01,-5.418400e-02
6.003933,1.942911e-01,-4.820520e-02
6.038839,1.945102e-01,-4.221172e-02
6.073746,1.946994e-01,-3.620538e-02
6.108652,1.948590e-01,-3.018802e-02
6.143559,1.949892e-01,-2.416146e-02
6.178466,1.950903e-01,-1.812753e-02
6.213372,1.951623e-01,-1.208809e-02
6.248279,1.952055e-01,-6.044967e-03
6.283185,1.952199e-01,-4.241793e-17
6.318092,1.952055e-01,6.044967e-03
